method,statistic,Vmax,Km,species
MBDBS,Estimate,0.378899979651952,490.291111020471,M.capitata
MBDBS,Std..Error,0.126942889964639,216.442346702686,M.capitata
MBDBS,t.value,2.98480663042646,2.26522729257762,M.capitata
MBDBS,p.value,0.0963040745283687,0.151740344144591,M.capitata
MBDBS,rse,0.00402100555736687,0.00402100555736687,M.capitata
MBDBS,df,2,2,M.capitata
RRBS,Estimate,0.145526487950066,14.1929839966919,M.capitata
RRBS,Std..Error,0.00226658159515722,1.71052085162359,M.capitata
RRBS,t.value,64.2052720541796,8.29746330377686,M.capitata
RRBS,p.value,0.000242493792646802,0.0142157892779364,M.capitata
RRBS,rse,0.0017103610278019,0.0017103610278019,M.capitata
RRBS,df,2,2,M.capitata
WGBS,Estimate,0.957053320456489,137.42987589202,M.capitata
WGBS,Std..Error,0.114071565565908,32.7035783167858,M.capitata
WGBS,t.value,8.3899376300181,4.20228864746221,M.capitata
WGBS,p.value,0.013910614288356,0.0522307163167168,M.capitata
WGBS,rse,0.0211672665064258,0.0211672665064258,M.capitata
WGBS,df,2,2,M.capitata
MBDBS,Estimate,1.1636408455739,205.627186827283,P.acuta
MBDBS,Std..Error,0.185083091997859,55.6681710590749,P.acuta
MBDBS,t.value,6.28712667922878,3.69380173473047,P.acuta
MBDBS,p.value,0.0243772868626211,0.0661066129017082,P.acuta
MBDBS,rse,0.0210392323491567,0.0210392323491567,P.acuta
MBDBS,df,2,2,P.acuta
WGBS,Estimate,0.922681461935877,18.8887742437376,P.acuta
WGBS,Std..Error,0.00933488131618243,1.190307211207,P.acuta
WGBS,t.value,98.8423345389907,15.8688228264902,P.acuta
WGBS,p.value,0.000102340453808262,0.00394759879906894,P.acuta
WGBS,rse,0.00657512178911552,0.00657512178911552,P.acuta
WGBS,df,2,2,P.acuta
RRBS,Estimate,0.244959515652275,78.0557357431123,P.acuta
RRBS,Std..Error,0.0341421095083994,28.4596410648224,P.acuta
RRBS,t.value,7.17470358977123,2.7426816650753,P.acuta
RRBS,p.value,0.0188780377711051,0.111199252009235,P.acuta
RRBS,rse,0.0102471327622812,0.0102471327622812,P.acuta
RRBS,df,2,2,P.acuta
