"geneID"	"percentMeth"
"g10000"	46.6666665
"g10001"	0
"g10002"	60
"g10003"	44.444444
"g10009"	80
"g10014"	100
"g10016"	50
"g10017"	75
"g10018"	33.333333
"g10044"	80
"g1007"	0
"g10073"	0
"g10075"	0
"g1008"	0
"g10080"	0
"g10084"	0
"g10089"	0
"g1009"	20
"g10090"	0
"g10094"	16.666667
"g10102"	33.333333
"g10105"	0
"g10107"	16.666667
"g10108"	57.142857
"g10109"	80
"g10120"	0
"g10122"	0
"g10123"	0
"g10124"	0
"g10127"	0
"g10136"	0
"g10141"	100
"g10144"	0
"g10147"	0
"g10169"	0
"g1017"	0
"g10170"	20
"g10177"	83.333333
"g10180"	81.6666665
"g10181"	0
"g10182"	0
"g10184"	100
"g10185"	0
"g10186"	0
"g10189"	0
"g10190"	18.3333335
"g10191"	80
"g10192"	0
"g10195"	0
"g10196"	0
"g1020"	0
"g1021"	0
"g10218"	0
"g10219"	0
"g10242"	0
"g10243"	0
"g10244"	0
"g10251"	100
"g10257"	0
"g10258"	0
"g10266"	16.666667
"g10278"	100
"g10282"	100
"g10289"	20
"g10290"	100
"g10291"	0
"g10292"	20
"g10294"	0
"g10295"	100
"g10296"	100
"g10298"	100
"g10299"	0
"g10300"	0
"g10306"	0
"g10310"	0
"g10329"	100
"g1033"	83.333333
"g10332"	61.6666665
"g10336"	20
"g10345"	7.142857
"g10348"	0
"g10357"	12.5
"g10362"	0
"g10364"	0
"g10365"	0
"g10375"	100
"g104"	83.333333
"g10405"	60
"g10407"	4.761905
"g10408"	20
"g10410"	100
"g10412"	0
"g10415"	0
"g10416"	0
"g10420"	80
"g1043"	0
"g10443"	0
"g10445"	0
"g10449"	0
"g1045"	75.7142855
"g10451"	0
"g10459"	0
"g1046"	60
"g10468"	0
"g1047"	40
"g10471"	0
"g10472"	0
"g10473"	0
"g10474"	0
"g10475"	40
"g10479"	0
"g10480"	0
"g10495"	100
"g105"	0
"g10501"	80
"g10509"	30
"g10516"	20
"g10517"	40
"g10519"	60
"g10529"	0
"g10531"	20
"g10538"	0
"g10550"	66.666667
"g10552"	20
"g10557"	0
"g10558"	0
"g1056"	80
"g10561"	100
"g10563"	0
"g10566"	100
"g10567"	53.5714285
"g10568"	0
"g1057"	0
"g1058"	3.896104
"g10580"	0
"g10583"	25
"g10585"	0
"g10586"	0
"g106"	40
"g10602"	4.761905
"g10611"	66.666667
"g1062"	0
"g10620"	14.285714
"g10625"	0
"g10628"	40
"g1063"	33.3333335
"g10638"	100
"g10642"	88.888889
"g10645"	100
"g10647"	20
"g10648"	20
"g10649"	10
"g1065"	0
"g10651"	8.3333335
"g10652"	100
"g10655"	60
"g10656"	33.333333
"g10657"	90
"g10667"	66.666667
"g10673"	60
"g10678"	0
"g1068"	50
"g10684"	100
"g10685"	30
"g10688"	0
"g10689"	0
"g10690"	0
"g107"	40
"g10708"	0
"g10719"	7.142857
"g10729"	100
"g10749"	0
"g1075"	12.5
"g10750"	0
"g10755"	0
"g10757"	0
"g10762"	10
"g10787"	80
"g10816"	20
"g10818"	0
"g10831"	40
"g10836"	37.5
"g10843"	33.333333
"g10845"	50
"g10848"	0
"g10849"	0
"g10853"	60
"g10855"	60
"g10859"	0
"g10864"	0
"g10868"	0
"g1087"	0
"g10871"	0
"g10874"	90
"g10875"	80
"g10881"	40
"g10882"	0
"g10884"	0
"g10887"	0
"g10892"	0
"g109"	16.666667
"g10906"	0
"g10907"	0
"g10908"	20
"g10913"	80
"g10917"	0
"g10920"	0
"g10927"	0
"g10930"	0
"g10932"	0
"g10942"	20
"g10944"	0
"g10945"	0
"g10948"	0
"g10955"	0
"g110"	0
"g11000"	0
"g11005"	0
"g11066"	0
"g11067"	0
"g11077"	0
"g11085"	0
"g11102"	0
"g11103"	100
"g11105"	80
"g11111"	20
"g11121"	0
"g11123"	16.666667
"g11129"	0
"g11134"	40
"g11135"	0
"g11146"	0
"g11148"	0
"g11149"	0
"g11153"	0
"g11156"	16.666667
"g11162"	92.857143
"g11164"	60
"g11166"	80
"g11167"	70
"g11169"	50
"g11170"	63.3333335
"g11172"	71.428571
"g11173"	50
"g11177"	0
"g11178"	0
"g11179"	0
"g11180"	0
"g11181"	0
"g11186"	44.444444
"g11187"	0
"g11189"	80
"g11194"	0
"g11202"	100
"g11206"	0
"g11207"	0
"g11209"	0
"g11218"	0
"g11219"	0
"g11231"	0
"g11232"	0
"g11233"	0
