"geneID"	"percentMeth"
"g1"	0
"g10"	82.5
"g100"	71.428571
"g1000"	0
"g10000"	0
"g10001"	0
"g10002"	0
"g10004"	100
"g10005"	0
"g10006"	0
"g10007"	0
"g10008"	0
"g10009"	0
"g1001"	0
"g10010"	0
"g10012"	0
"g10013"	0
"g10014"	0
"g10015"	0
"g10016"	0
"g10017"	0
"g10018"	0
"g10019"	0
"g1002"	0
"g10020"	0
"g10021"	0
"g10022"	0
"g10023"	0
"g10025"	0
"g10026"	0
"g10028"	0
"g10029"	0
"g1003"	0
"g10030"	10.204082
"g10031"	47.826087
"g10032"	37.837838
"g10033"	26.666667
"g10034"	18.75
"g10035"	81.746032
"g10036"	38.75
"g10037"	71.428571
"g10038"	0
"g1004"	0
"g10041"	60
"g10042"	0
"g10043"	0
"g10044"	0
"g10045"	0
"g10046"	0
"g10047"	0
"g10048"	0
"g10049"	0
"g1005"	0
"g10050"	0
"g10051"	0
"g10052"	0
"g10053"	0
"g10054"	66.666667
"g10055"	84.659091
"g10056"	0
"g10057"	0
"g10058"	0
"g10059"	0
"g1006"	0
"g10060"	0
"g10061"	0
"g10062"	27.272727
"g10063"	49.7474745
"g10064"	0
"g10065"	0
"g10066"	0
"g10067"	0
"g10069"	0
"g1007"	0
"g10070"	0
"g10071"	0
"g10072"	0
"g10073"	0
"g10074"	0
"g10075"	0
"g10076"	0
"g10077"	0
"g10078"	0
"g10079"	0
"g1008"	0
"g10080"	0
"g10081"	0
"g10082"	0
"g10083"	9.1666665
"g10084"	0
"g10085"	0
"g10086"	0
"g10087"	0
"g10088"	0
"g10089"	0
"g1009"	0
"g10090"	0
"g10091"	0
"g10092"	0
"g10093"	0
"g10094"	0
"g10095"	0
"g10096"	0
"g10097"	0
"g10098"	0
"g10099"	0
"g101"	0
"g1010"	0
"g10100"	0
"g10101"	0
"g10102"	0
"g10103"	0
"g10104"	0
"g10105"	0
"g10106"	0
"g10107"	0
"g10109"	40
"g1011"	0
"g10110"	71.428571
"g10111"	0
