"","category","WGBS","RRBS","MBDBS","Term","GOterm_desc"
"1","GO:0036345",1.31101100846493e-05,NA,5.64234654059794e-05,"platelet maturation","GO:0036345 platelet maturation"
"2","GO:0044275",0.000939208405452443,NA,0.00105411272926109,"cellular carbohydrate catabolic process","GO:0044275 cellular carbohydrate catabolic process"
"3","GO:0034230",0.000940033491054271,NA,NA,"enkephalin processing","GO:0034230 enkephalin processing"
"4","GO:0034231",0.000940033491054271,NA,NA,"islet amyloid polypeptide processing","GO:0034231 islet amyloid polypeptide processing"
"5","GO:0036303",0.00139841729311661,NA,0.0250585115184539,"lymph vessel morphogenesis","GO:0036303 lymph vessel morphogenesis"
"6","GO:1901666",0.00215022857731026,NA,0.000408931833776065,"positive regulation of NAD+ ADP-ribosyltransferase activity","GO:1901666 positive regulation of NAD+ ADP-ribosyltransferase activity"
"7","GO:2000646",0.00247001406023541,NA,0.000531276861054997,"positive regulation of receptor catabolic process","GO:2000646 positive regulation of receptor catabolic process"
"8","GO:0009063",0.00281498284073388,NA,0.0031600309927469,"cellular amino acid catabolic process","GO:0009063 cellular amino acid catabolic process"
"9","GO:0033522",0.0030059758512708,NA,0.00072212990010193,"histone H2A ubiquitination","GO:0033522 histone H2A ubiquitination"
"10","GO:0060060",0.00373738043317674,NA,0.0163033931845277,"post-embryonic retina morphogenesis in camera-type eye","GO:0060060 post-embryonic retina morphogenesis in camera-type eye"
"11","GO:0051444",0.00421263419759012,NA,0.00122588842617476,"negative regulation of ubiquitin-protein transferase activity","GO:0051444 negative regulation of ubiquitin-protein transferase activity"
"12","GO:0033523",0.00663137628956832,NA,0.00248112450240017,"histone H2B ubiquitination","GO:0033523 histone H2B ubiquitination"
"13","GO:0120193",0.00702218807859088,NA,NA,"tight junction organization","GO:0120193 tight junction organization"
"14","GO:1902966",0.00755652942372524,NA,0.00303243018059177,"positive regulation of protein localization to early endosome","GO:1902966 positive regulation of protein localization to early endosome"
"15","GO:0010390",0.00849880792173971,0.0428847762810351,0.0035987492806062,"histone monoubiquitination","GO:0010390 histone monoubiquitination"
"16","GO:0007156",0.012008918889955,NA,0.000241980526677673,"homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules"
"17","GO:0010842",0.0144142715989291,NA,0.0055860708096439,"retina layer formation","GO:0010842 retina layer formation"
"18","GO:0035563",0.0146930835594461,NA,0.00827606582739821,"positive regulation of chromatin binding","GO:0035563 positive regulation of chromatin binding"
"19","GO:0070498",0.0169184981662223,NA,0.00141917091403816,"interleukin-1-mediated signaling pathway","GO:0070498 interleukin-1-mediated signaling pathway"
"20","GO:0002001",0.0170981869030046,NA,1.5741932348758e-08,"renin secretion into blood stream","GO:0002001 renin secretion into blood stream"
"21","GO:0038007",0.0171987518124695,NA,NA,"netrin-activated signaling pathway","GO:0038007 netrin-activated signaling pathway"
"22","GO:0072164",0.0179347831242433,NA,0.0357346028012503,"mesonephric tubule development","GO:0072164 mesonephric tubule development"
"23","GO:0035262",0.0182089889593955,NA,0.0410442583675622,"gonad morphogenesis","GO:0035262 gonad morphogenesis"
"24","GO:0008595",0.0186521746029316,NA,0.0385995103608568,"anterior/posterior axis specification, embryo","GO:0008595 anterior/posterior axis specification, embryo"
"25","GO:0019731",0.0186612749180203,NA,0.03745313376744,"antibacterial humoral response","GO:0019731 antibacterial humoral response"
"26","GO:0043111",0.0188444315970937,NA,0.037887814373053,"replication fork arrest","GO:0043111 replication fork arrest"
"27","GO:0016078",0.0192941093700629,NA,0.000654192645441235,"tRNA catabolic process","GO:0016078 tRNA catabolic process"
"28","GO:0007161",0.0197786757337718,NA,0.0377663698118473,"calcium-independent cell-matrix adhesion","GO:0007161 calcium-independent cell-matrix adhesion"
"29","GO:0009062",0.0210417636925877,NA,0.0135929244916003,"fatty acid catabolic process","GO:0009062 fatty acid catabolic process"
"30","GO:1901394",0.0211280297078913,NA,0.0455976515757533,"positive regulation of transforming growth factor beta1 activation","GO:1901394 positive regulation of transforming growth factor beta1 activation"
"31","GO:0016045",0.0211938269155707,NA,NA,"detection of bacterium","GO:0016045 detection of bacterium"
"32","GO:0032687",0.0221289195187776,NA,0.000754908161948391,"negative regulation of interferon-alpha production","GO:0032687 negative regulation of interferon-alpha production"
"33","GO:0032688",0.0226145395318462,NA,0.000795661932689342,"negative regulation of interferon-beta production","GO:0032688 negative regulation of interferon-beta production"
"34","GO:0043043",0.0229576656385597,NA,6.86126350137012e-08,"peptide biosynthetic process","GO:0043043 peptide biosynthetic process"
"35","GO:0007416",0.0240355921444294,NA,0.0125723043347111,"synapse assembly","GO:0007416 synapse assembly"
"36","GO:0048014",0.0241372979907695,NA,NA,"Tie signaling pathway","GO:0048014 Tie signaling pathway"
"37","GO:0040019",0.0261023974896222,NA,NA,"positive regulation of embryonic development","GO:0040019 positive regulation of embryonic development"
"38","GO:0046330",0.0279498274690133,NA,0.000359494781579831,"positive regulation of JNK cascade","GO:0046330 positive regulation of JNK cascade"
"39","GO:0071287",0.0280793457717697,NA,NA,"cellular response to manganese ion","GO:0071287 cellular response to manganese ion"
"40","GO:0099139",0.0299712040157323,NA,0.000327071508397608,"cheating during chimeric sorocarp development","GO:0099139 cheating during chimeric sorocarp development"
"41","GO:0048566",0.0307309195995781,NA,3.16063999607026e-07,"embryonic digestive tract development","GO:0048566 embryonic digestive tract development"
"42","GO:0002230",0.0310315631509591,NA,0.00450173261787121,"positive regulation of defense response to virus by host","GO:0002230 positive regulation of defense response to virus by host"
"43","GO:0016075",0.035236004025323,0.0117725217121136,0.0246760489934076,"rRNA catabolic process","GO:0016075 rRNA catabolic process"
"44","GO:0008544",0.0354772669460502,NA,0.0249218354037689,"epidermis development","GO:0008544 epidermis development"
"45","GO:0002606",0.0357949775069641,NA,NA,"positive regulation of dendritic cell antigen processing and presentation","GO:0002606 positive regulation of dendritic cell antigen processing and presentation"
"46","GO:0003017",0.042816360777084,NA,0.0333082778841106,"lymph circulation","GO:0003017 lymph circulation"
"47","GO:0000303",0.0455600701273937,NA,NA,"response to superoxide","GO:0000303 response to superoxide"
"48","GO:0043122",0.0474760980716078,NA,0.00022084002473354,"regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043122 regulation of I-kappaB kinase/NF-kappaB signaling"
"49","GO:0006886",NA,1.90797227447084e-05,NA,"intracellular protein transport","GO:0006886 intracellular protein transport"
"50","GO:0000105",NA,6.54907470280585e-05,NA,"histidine biosynthetic process","GO:0000105 histidine biosynthetic process"
"51","GO:0090267",NA,0.000103684226835306,NA,"positive regulation of mitotic cell cycle spindle assembly checkpoint","GO:0090267 positive regulation of mitotic cell cycle spindle assembly checkpoint"
"52","GO:0006890",NA,0.000120745416992634,NA,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","GO:0006890 retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"
"53","GO:0000054",NA,0.000224988932078552,NA,"ribosomal subunit export from nucleus","GO:0000054 ribosomal subunit export from nucleus"
"54","GO:0016579",NA,0.000226077331514207,NA,"protein deubiquitination","GO:0016579 protein deubiquitination"
"55","GO:0070849",NA,0.000279865718545076,NA,"response to epidermal growth factor","GO:0070849 response to epidermal growth factor"
"56","GO:0006559",NA,0.000282144523107827,NA,"L-phenylalanine catabolic process","GO:0006559 L-phenylalanine catabolic process"
"57","GO:0043046",NA,0.000360807291735143,NA,"DNA methylation involved in gamete generation","GO:0043046 DNA methylation involved in gamete generation"
"58","GO:0006412",NA,0.000368900522110767,NA,"translation","GO:0006412 translation"
"59","GO:0030641",NA,0.00050485735124208,NA,"regulation of cellular pH","GO:0030641 regulation of cellular pH"
"60","GO:0006260",NA,0.00068994916251053,NA,"DNA replication","GO:0006260 DNA replication"
"61","GO:0000462",NA,0.000886917322289018,NA,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"62","GO:0048490",NA,0.000921641519497228,NA,"anterograde synaptic vesicle transport","GO:0048490 anterograde synaptic vesicle transport"
"63","GO:0042073",NA,0.000925991949018408,NA,"intraciliary transport","GO:0042073 intraciliary transport"
"64","GO:0015739",NA,0.000970794287847421,NA,"sialic acid transport","GO:0015739 sialic acid transport"
"65","GO:0006569",NA,0.00108807821334792,NA,"tryptophan catabolic process","GO:0006569 tryptophan catabolic process"
"66","GO:0036297",NA,0.00110151182365048,NA,"interstrand cross-link repair","GO:0036297 interstrand cross-link repair"
"67","GO:0006404",NA,0.00121834746502209,NA,"RNA import into nucleus","GO:0006404 RNA import into nucleus"
"68","GO:0010965",NA,0.00121834746502209,NA,"regulation of mitotic sister chromatid separation","GO:0010965 regulation of mitotic sister chromatid separation"
"69","GO:0031453",NA,0.00121834746502209,NA,"positive regulation of heterochromatin assembly","GO:0031453 positive regulation of heterochromatin assembly"
"70","GO:0031990",NA,0.00121834746502209,NA,"mRNA export from nucleus in response to heat stress","GO:0031990 mRNA export from nucleus in response to heat stress"
"71","GO:0006364",NA,0.00122663272785545,NA,"rRNA processing","GO:0006364 rRNA processing"
"72","GO:0060324",NA,0.0012884064499016,NA,"face development","GO:0060324 face development"
"73","GO:0006888",NA,0.00154159386566066,NA,"endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport"
"74","GO:0051014",NA,0.00155420103838671,NA,"actin filament severing","GO:0051014 actin filament severing"
"75","GO:0006147",NA,0.00211863630682204,NA,"guanine catabolic process","GO:0006147 guanine catabolic process"
"76","GO:0000723",NA,0.0021595113287785,0.0313209147886722,"telomere maintenance","GO:0000723 telomere maintenance"
"77","GO:0007288",NA,0.00219886621571072,NA,"sperm axoneme assembly","GO:0007288 sperm axoneme assembly"
"78","GO:0006418",NA,0.00220891666821362,NA,"tRNA aminoacylation for protein translation","GO:0006418 tRNA aminoacylation for protein translation"
"79","GO:0036295",NA,0.00221363483910943,NA,"cellular response to increased oxygen levels","GO:0036295 cellular response to increased oxygen levels"
"80","GO:0006543",NA,0.00261888602406021,NA,"glutamine catabolic process","GO:0006543 glutamine catabolic process"
"81","GO:1905515",NA,0.00264187641537625,NA,"non-motile cilium assembly","GO:1905515 non-motile cilium assembly"
"82","GO:0046856",NA,0.00267835622259656,NA,"phosphatidylinositol dephosphorylation","GO:0046856 phosphatidylinositol dephosphorylation"
"83","GO:0060914",NA,0.00280061652495125,NA,"heart formation","GO:0060914 heart formation"
"84","GO:0008380",NA,0.00307584494886788,NA,"RNA splicing","GO:0008380 RNA splicing"
"85","GO:0035999",NA,0.00312296601038779,NA,"tetrahydrofolate interconversion","GO:0035999 tetrahydrofolate interconversion"
"86","GO:0006999",NA,0.00320388600650437,NA,"nuclear pore organization","GO:0006999 nuclear pore organization"
"87","GO:0006303",NA,0.00332744367548554,NA,"double-strand break repair via nonhomologous end joining","GO:0006303 double-strand break repair via nonhomologous end joining"
"88","GO:1990440",NA,0.00338194248082705,NA,"positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","GO:1990440 positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress"
